Row ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
1,1,501,41.02,15.07,75.69,83.27,20.04,15.17,87.82,69.66,54.69,13.77,8.78,4.79,1.6,1.8,0.2,0.4,4.99,13.37,7.58,2,12.18,8.98,7.39,7.19,2,15.57,6.59,3.59,3.99,2.59,1.4,0,18.16,1.6,16.37,2.2,1.2,3.39,5.19,0.4,5.99,0,6.19,5.19,1,4.39,3.59,0.8,0.6,0.2,0,0,9.38,5.19,0.4,0.4,0.2,0,2.2,4.19,0,0,0,0.2,2,0.2,0,1.8,2.4,0.6,0,1.8,0,0,1.4,0,0,0,0,0,0,0.2,0,0.2,0,0.6,0,0,0,0,0,0.2,7.78,7.78,0.2,1,3.79,2.2,0.2,0.6,7.78,1,5.79,1.8,2,1.4,0.6,0,0,18.16,1.2,0.8,2.79,1.8,2.59,8.98
2,1,18,19.76,99,39.59,20.23,9,27.78,83.33,55.56,50,22.22,22.22,0,16.67,5.56,0,0,0,5.56,0,0,11.11,11.11,5.56,0,0,16.67,0,0,16.67,16.67,0,0,11.11,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,0,0,0,0,11.11,22.22,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,16.67,0,5.56,11.11,0,0,0,0,0,5.56,0,0,5.56,0,0,0
3,1,115,39.7,14.97,92.58,99,23,17.39,88.7,67.83,50.43,16.52,11.3,7.83,1.74,1.74,0,0,5.22,5.22,3.48,5.22,13.04,10.43,3.48,5.22,0.87,19.13,4.35,0.87,3.48,1.74,1.74,0,13.91,0.87,13.04,3.48,0.87,0.87,3.48,0,6.09,0,10.43,9.57,0.87,6.09,6.09,0,0,0,0,0,11.3,5.22,1.74,0.87,0,0,0.87,6.09,0,0,0,1.74,0,0,0,0,5.22,1.74,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0.87,9.57,5.22,0,2.61,2.61,0,0.87,0,4.35,0.87,6.09,2.61,4.35,4.35,0.87,0,0,16.52,0.87,0,0,2.61,2.61,10.43
4,1,144,27.86,4.33,73.18,83,20.57,16.67,84.03,65.97,52.78,13.89,7.64,6.25,0.69,0.69,0,0,6.25,10.42,4.86,3.47,11.81,11.81,6.94,4.86,3.47,20.14,3.47,2.78,3.47,1.39,2.08,0,12.5,1.39,11.11,3.47,0,2.78,4.86,1.39,3.47,0,5.56,4.86,0.69,4.86,4.17,0.69,0,0,0,0,7.64,6.25,0.69,0,0,0,0,2.08,0.69,0,0,0,0,0,0,0,2.08,0.69,0,1.39,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,8.33,4.86,0,0,3.47,0,0.69,0,7.64,4.17,3.47,2.78,1.39,1.39,0,0,0,30.56,0,3.47,3.47,0.69,3.47,19.44
5,1,372,50.49,71.17,51.16,89.28,20.67,16.13,78.49,60.22,48.66,13.71,9.68,3.23,1.08,4.57,0,0.81,4.03,11.02,3.49,2.69,13.17,6.99,5.91,6.18,0.27,13.71,3.76,3.76,2.96,1.61,1.08,0.27,12.1,1.08,11.02,2.42,1.61,1.88,2.96,0.54,4.03,0,5.38,5.11,0.27,4.03,4.03,0,0,0,0,0,13.44,6.45,0.27,0.27,0,0,2.96,7.26,0,0,0.27,0,2.42,0,0,2.42,4.3,0.27,0,3.49,1.61,0,2.42,0,0,0,0,0,0,0,0,0.27,0,1.08,0,0,0,0,0,0,8.33,5.65,0.54,0.54,4.3,0.81,0,0,5.65,1.88,4.84,0.27,0.81,0.27,0.54,0,0,22.58,1.34,2.96,3.23,0.54,1.34,13.17
6,1,420,34.92,84.23,24.32,86.59,22.11,14.29,79.52,65.95,51.19,16.19,10,2.86,1.67,4.29,0.71,0.48,6.19,12.38,3.1,1.43,11.43,9.76,4.05,6.19,0,18.33,5.71,5.95,4.05,2.86,0.95,0.24,13.57,0.71,12.86,3.57,1.43,3.33,2.86,0.48,3.57,0.24,5.95,5.24,0.71,4.76,4.52,0.24,0,0,0,0,14.52,6.19,0.24,0.48,0,0,2.62,8.81,0.24,0,1.19,0.71,1.9,0,0,1.9,1.67,0,0,1.43,0.71,0,3.1,0.48,0,0,0,0,0,0,0,0.71,0,1.67,0,0,0,0,0,0,6.19,6.43,0.48,0.24,4.52,0.48,0,0.71,3.57,2.62,4.76,1.67,0.71,0.48,0.24,0,0,21.67,0.71,3.1,3.33,0.24,1.43,12.86
7,1,1063,39.04,68.61,31.88,64.71,22.15,17.59,79.4,63.59,49.67,13.83,9.22,3.48,1.51,3.57,0.09,0.56,4.61,10.63,4.8,3.48,11.29,9.69,6.96,5.27,0.56,17.87,4.52,3.2,3.48,2.07,0.56,0.85,13.45,0.85,12.61,3.1,1.69,3.29,2.92,0.28,2.92,0,3.76,3.29,0.47,1.98,1.69,0.28,0,0.09,0.09,0,11.57,5.17,0.38,0.47,0.09,0.09,2.26,6.77,0.19,0,0.47,0.19,1.41,0,0,1.41,2.92,0.09,0.19,2.16,1.13,0,1.41,0,0,0,0,0,0,0,0,0.28,0.09,1.6,0,0.09,0,0.19,0.09,0,7.15,6.87,0.56,0.75,4.7,1.03,0.19,0.38,3.95,2.26,5.17,1.13,0.75,0.38,0.47,0,0,21.92,1.88,2.45,3.2,0.09,1.79,12.51
8,1,334,51.19,89.17,21.5,62.65,25.69,16.77,76.95,62.87,49.1,16.17,10.78,3.59,1.8,5.39,0,0,5.39,9.88,3.29,2.99,15.27,9.58,4.79,4.19,0,17.96,3.59,3.89,3.29,2.1,0.6,0.6,9.58,0,9.58,2.69,1.8,2.99,0.6,0.3,1.5,0.3,4.49,3.59,0.9,2.69,2.4,0.3,0,0.3,0,0,12.87,5.39,0.3,0.6,0.3,0,2.4,7.78,0.3,0,0.3,0,0.6,0,0,0.6,3.59,0,0,3.59,0.3,0,2.69,0,0,0,0,0,0,0,0,0.3,0,1.5,0,0,0,0,0,0,9.28,5.99,0.9,0.3,3.59,0.9,0,1.2,5.09,1.2,5.39,2.69,0.3,0,0.3,0,0,20.96,1.2,0.6,2.99,0,2.69,13.47
9,1,106,62.77,67.67,79.41,64.84,26.5,16.98,86.79,62.26,43.4,15.09,11.32,5.66,0,3.77,0,1.89,3.77,10.38,3.77,0.94,12.26,7.55,2.83,1.89,0.94,23.58,0.94,4.72,1.89,0,0.94,0.94,15.09,1.89,13.21,4.72,2.83,2.83,1.89,0,1.89,0,6.6,4.72,1.89,3.77,3.77,0,0,0,0,0,16.98,7.55,1.89,0.94,0,0,1.89,9.43,0,0,0.94,0.94,0.94,0,0,0.94,3.77,0,0,2.83,1.89,0,2.83,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0.94,0,7.55,10.38,0,3.77,3.77,0.94,0,1.89,5.66,2.83,4.72,4.72,1.89,0.94,0.94,0,0,22.64,0,2.83,0.94,1.89,3.77,13.21
10,1,512,49.87,23.51,50.32,77.59,26.95,13.87,89.45,71.88,54.69,14.65,8.98,5.47,1.95,0.78,0,0.78,5.66,11.33,6.84,1.76,12.89,9.57,5.86,5.27,0.98,18.16,6.05,5.27,4.3,3.32,0.59,0.39,15.82,1.56,14.26,2.15,1.76,3.32,3.32,0.98,4.1,0,5.47,4.49,0.78,4.1,3.91,0,0,0,0,0,9.38,4.69,0.59,0,0,0.2,0.98,4.69,0,0,0,0,0.39,0.2,0,0.2,3.13,0.39,0,1.56,1.56,0,2.54,0.39,0,0.39,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0.2,8.59,12.7,0.78,1.76,5.27,4.1,0.39,0.59,2.73,1.76,4.3,1.76,1.17,0.78,0.39,0.2,0,19.53,1.17,4.3,1.37,1.17,2.54,8.98
