Request,Politeness
"Where did you learn English? How come you're taking on a third language?",0
"Thanks very much for your edit to the <url> article. Would you be interested in tackling the <url> of <url>?",1
"|style=vertical-align: middle; padding: 3px; | I've started the Badfinger wiki amd I need help. You seem to know a lot about them, could you please help out?",1
"These are my numbers: 7 years in Wikipedia, 6 years as an admin, 570+ articles, 4 featured articles, 1 featured list, 21 Good articles, 60 DYK's - After six years as an admin. I recently made some mistakes and I can understand if I am placed in some type of probation were I am monitored and forbidden to use my tools maybe for a year, but do I really merit the removal of my adminship?",0
"I couldn't tell you why glam rock was there. Better?",0
"Are you calling me a vandal for visiting your user page? Or am I just <url>?",0
"Ok, that's no problem. Can you recommend any other users who would be able to train me?",1
"Congratulations, OGoncho! Isn't there a barnstar for things like that?",1
"I'd be shocked if no one has asked you this yet, but you do an enormous amount of work keeping the bio articles free of vandalism and nonsense as well as filling them up with useful content ;) You seem like you could use a few extra buttons on your toolbar. Are you interested in being nominated for adminship?",1
"I'm also having to use your link. Perhaps we should change the main page link to use the megaupload until we know that the main website is up?",1
"Is there any reason you keep moving boldface marks? ITN is on my watchlist and you seem to do this quite frequently, yet, as far as I can see, it makes no difference, so I feel compelled to ask if there's any particular reason?",0
"Come on Mohrflies, I donxb4t understand why you insist in these edits: <url>? Why Yugoslav when absolutely no one uses it?",0
"I asked you a question. Be educated and please respond: What does <url> has to do with <url>?",0
"Well, welcome, and thanks for helping out, as you can see it's greatly needed. Do you have <url> yet?",1
"Fine, but it took me no more than a couple of seconds to find a source. Why couldn't you do it instead of removing the content?",0
"Hi there. On a tangential note, would you happen to be <person>?",1
"Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",1
"Anytime. How do you like this closer crop?",1
"How come you removed Dobby as an omitted character? Where does he appear?",0
"My question is Why? I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",1
"I see you have been creating lots of articles on bus stations on the <url>. Considering how little information there is (and is likely to be) for these stations, would it not be better to have them all on one article?",0
"I actually posted my comments a couple minutes ago. Do you think that explanation works, or do you think it's a good idea I elaborate further?",1
"I restored the lead picture series I like. What do you think?",1
"Seriously? Seriously?",0
"Yep, she told me. How are you doing?",1
"<url> and <url> seem to be two articles on the same subject. What's the point of having separate articles?",0
"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",0
"Hi Asbestos! This is kind of weird for me but I see that you are a participant in the photo project and list yourself as a photographer in Edinburgh and I was wondering if there was any possibility that you would be willing to respond to my recent request <url>?",1
"---- Though I thought I would note that you have now exceeded <big>'''500'''</big> edits while on wikibreak and that is over less than 10 days, May I ask what kind of break is that???",0
"Interrobang has asked me if I would also help mentor you when he is not around. I said that I would gladly help out if it was ok with you?",1
"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as the claim so that I may find relevant information to refute?",1
"Gah! What just happned?",0
"Thanks for the ce's on Attachment therapy. Are you kindly undertaking the second opinion?",1
"You are removing the film poster s images from the Kansas City Film Critics Circle Awards articles and the Academy awards. Why?",0
"I also have problems with a lot of the other recategorisation you have done to these articles, but I won't revert any more until I hear from you. Taking <url> as an example: why have you removed it from <url> when it clearly is a linear filter; why remove it from <url> when it forms part of image parameter theory; why does an article which discusses electronic designs not belong in <url>; why remove it from <url> when, obviously, it is a term?",0
"You recently edited this page. It is my view that this page is just a corporate marketing listing, there are several hundred companies that do the same job yet are not listed in Wikipedia - Do you not think that this is advertorial?",0
"You've violated <url> on <url>, with 2 reverts in half an hour. Would you like to revert yourself to avoid being blocked again?",0
"Never mind, got it. Is the stereochemistry known?",0
"The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?",0
"COI? What COI do you think I have?",0
"You may need to enable your own setting to allow E-mail too; I'm not sure. If so, maybe you can turn it on temporarily, so that you can send me one e-mail?",1
"He has been indef blocked once again. I wonder how long it will take him to come back this time?",0
"This is helpful for automatized transfer scripts. By the way, did I get the location tag right on <url> :-) ?",1
"...cause I feel like a petulant kid, posting it. But: We have three volunteers: Awadewit, Mike Christie and Wrad. Given that I, you know, proposed the countries idea, wasn't it obvious that I was volunteering?",0
"I noticed that you are the major contributor to the articles. Mind if I nominate <url> at <url>?",1
"''The sources are already there!'' Have you even looked at it?",0
"I can assist you with your sockpuppet report against him. :) Will you like me to just fill it out for you?",1
"As a former administrator, and therefore a veteran editor who knows how wikipedia really works, I am actually surprised you would even ask such a question with such an obvious answer. I suspect you were simply pointing out a perceived injustice with a question founded in a <url> that you yourself did not take seriously?",0
"What is a wall these days? 10 sentences?",0
"Would you mind doing the same for <url>?",1
"Hello, thank you for adding interesting content to <url> <url>. Are you able to provide <url> that will help the content meet our <url> standard?",1
"I was just now leaving a note on Ruhrfisch's talk page, and noticed that you'd left a note there. I wrote about the <url> the other day, the first time that I've ever created an NRHP article: would you be willing to check it, and to add to the infobox if there's something that can easily be added?",1
"There is a very nice moving picture at <url> which illustrates the bisection method. Can we get it for our version?",1
"Ack, hit the wrong button? How do you manage that?",0
"Thanks Anon. Better now?",1
"I have just put the article to peer review. Would you care to take a look?",1
"Dude, what's going on? Why are you leaving?",0
"uh, okay lol :) no, i dont think i am (although i dont remember drinking any at all..), and um? okay?",0
"I don't have the full list online, but I do have the 07-08 AJHL record book. Are there any specific seasons or teams you are looking for?",1
"I'm not finding the name change request at <url>, nor does there appear to be such an edit under the Rogerboas account name. Did you posti t while logged out, perhaps?",1
"Hi, I understand that the WP:COI rules would still apply, regardless of username. Could you kindly approve the change in my user name from cecn to funshine?",1
"That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?",0
"I'm just saying that Kingboyk hasn't really been editing lately. So if you're actually interested in resolving an issue, why not take it to a noticeboard?",0
"You removed posts by me as well. Do you have any explanation?",0
"How about saying that the fastest flow is near the deepest part of the channel, and that in most meanders this is near the outer bank? What do you think?",1
"I've steadily become more interested in getting this article up to FA, but I'm having trouble finding sources that actually analyze ''contemporary R&B'' instead of the entire <url> genre. Do you have any advice or would you be interested in working on it together?",1
"Just looking at that photo and the one in the article makes me feel cold :). I just finished this article <url> a week or so ago, and wonder if those Forward Operating Locations are tied into intercepts from those NORAD radar sites ?",1
"Also, u201ccould be expectedu201d? By whom?",0
"I think the article needs work. For example, I think U.S. late 1980s - 1990s should after Detroit sound. UK 1990s should after U.S. late 1980s - 1990s. What do you think?",1
"Thanks for blocking this user -- he promptly erased the warnings on his talk page (I put them back). I guess a block doesn't automatically block the talk page, huh?",1
"Thank you for caring re: my loss. We go on, because it's all we can ever do, y'know?",1
"Why did you remove the pollution references on <url>. Do you have a source which refutes this claim?",0
"Hey, thanks for joining! Have any ideas you wish to add to the project?",1
"Hi Debresser, what's up? Why are you doing what you are doing?",0
"Hi SKS, I saw your post on the discussion on the charts page about Billboard Korea and I clicked the link and the website seems to be up and running but I can't make sense of it. Can you have a look at it?",1
"Apologies, I was busy prod'ding this article when you speedily deleted it, so I inadvertently re-created it. Can you delete it again, please?",1
"I enjoyed your comments on the 'Road to Serfdom' article. I wonder if you know if anyone has offered a reading of the book as a satire of the bourgeois-administrative-pseudo-capitalist state?",1
"original article????",0
"Firstly, why do you assume I don't care about the content, and secondly, what chance have you given anyone to voice a dissenting opinion? Correct me if I am wrong, but you don't seem to have asked if anyone had a problem with the merge, did you?",0
"I'm afraid I don't understand what you are asking. Could you perhaps try to explain it in another way?",1
"Well, lyrics are generally frowned upon on Wikipedia, unless the song is old enough that its copyright no longer applies. Could you perhaps link to the article?",1
"Such as the redundant link to ''Roe v. Wade''? Not an improvement?",0
"Arguably, listing the former constructors and even the template itself is not necessary. Could we please try reinstating the previous version and see if and how many other folk don't find the decade information useful/intriguing?",1
"Do you mind if you tell me why do you add duplicate links to the article? More specifically, why do you add internal links to the See Also sections when those links are already in the article navbox?",0
"My problem is that the Style Guide for cities causes several topics for this small village to be repeated somewhat, especially the railroad, Gas Boom, and stockyard. Any thoughts on this article's organization?",0
"Hi, it looks like the en/em distinction is being preserved. What do you see as the advantage of changing the way they're currently written?",1
"Are u the guy on TV Forum using the same name??",0
"Hey, I just noticed that you are NOT an administator, I had always assumed that you were. I wondered if you would be interested in being nominated?",1
"Eh. Awesome as in you are going to be more active?",0
"I like the image of the Finnish lighthouses. Do you know if it is for sale anywhere as a poster?",1
"No, I don't know of any way to measure the number of visitors to articles. Perhaps someone on the <url> can answer your question?",1
"Hi Johnuniq, thank you for your edit. Does the file should be deleted/removed from commons then?",1
"Which little tag are you referring to? As for your second question, that does depend on a couple of things- you can send it through the official OTRS address, if you like, and someone will get to you in due course, but you're welcome to forward the email to me personally at jmilburninfaerun AT gmail.com, and I'll take a look at it for you, and upload the image/explain why it's not possible?",1
"I have just put the article to peer review. Would you care to take a look?",1
"<url> is based at 340 Laurier Avenue West Ottawa, Ontario K1A 0P9 - It doesn't have a photo posted yet. Is this convenient for you?",1
"How is it false to state he was the ruler of the PRC - terms such as Mao's government are used in the article. Can you leave your Marxist personal beliefs at the door?",0
"CIV, I'll grant (and yes, I shouldn't have). But how is it a violation of AGF to say that Stewart suggested the article be vandalized?",0
"If you completely disagree then why havn't you required references on other airport pages??",0
"I presume you haven't obliterated them completely, because that would be to be editorialise enormously. Where have you put them instead?",0
"I will find religious advocacy statements. You don't understand, or disagree, that medical issues are over emphasized in the circumcision article?",0
"Notability is an issue of common sense: you're writing for other people, so what is notable for you (or me) is not that relevant. My local shop is more important and notable ''to me'' than Wal-mart, but who, other than me, actually cares?",0
"Hi. I would argue that a consensus is far from being reached, so I'm wondering why you have went ahead and starting changing links?",0
"On the mediation page you made a number of statements that I said I would like to discuss with you. Would you be willing to do that <url>?",1
"Comply with what your talk page says, get off and study!!!! Have you willpower?",0
"Would it be premature to remove the autobiography and list laundry tags from <url> yet? I've been trying to improve it bit by bit, and everytime there are those tags on the page... mocking me... What's the go?",0
"Sure! How could I have missed that?",1
"Sounds great. Do you think you could add this over at the dicsussion I've started at <url>?",1
"Are you crazy down here?! What the heck is going on?",0
"Hello? You going to answer this?",0
"In the ACR for <url>, you mentioned that you had concerns with my writing style and were wary of supporting it. Can you specifically clarify what content in the article you had grammatical concerns with so I can make the needed improvements and gain your support?",1
"I am for some reason disappointed that it took me a few seconds longer to pick up the Bon Jovi reference than it did the Tom Petty one. Does that mean the terrorists have already won?",0
"4.5 million hits on Google turning up the non-Columbia campuses. What are you talking about?",0
"Let me ask you this. Assuming we take it that the player might have chosen any door to start with and the host may have opened any unchosen goat-hiding door, why do you not insist that the starting sample space must include all the possible door combinations?",0
"Is it ok to use words like: here are some good or recommended reliable secondary sources? Or does that have to be determined by consensus?",1
"Well, I bet you got that from stalking me. Are you making a template I can use?",0
"I made a change to your user page. Is that the change you wanted?",1
"I never programmed that up because there were so few portal reviews, far fewer even than portal candidates. How often does this happen?",1
"Can you take a look at the article <url> and the conversation going on at <url> (that should probably be moved to the article talk page). Your thoughts on the most recent commentary?",1
"Alright then!?",0
"I'm trying to install Lupin/Anti-vandal tool, but im stuck. Could you help please?",1
"What's up with all those tweaky changes? Just salting redirects?",0
