Row ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
1,1,24,62.1,18.97,68.87,99,12,29.17,75,45.83,37.5,4.17,4.17,4.17,0,0,0,0,0,12.5,8.33,0,4.17,8.33,8.33,4.17,0,12.5,4.17,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,4.17,0,4.17,0,0,12.5,4.17,12.5,4.17,0,0,0,0,0,25,0,0,0,8.33,8.33,8.33
2,1,10,15.41,3.95,1,1,5,20,80,70,50,10,10,0,0,0,10,0,0,10,0,0,20,20,10,0,10,40,0,0,10,0,10,0,30,0,30,0,0,10,0,0,10,0,10,0,10,10,0,10,10,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,20,0,0,0,0,0,20,10,0,0,0,10,0
3,1,17,7.78,99,1,99,8.5,11.76,94.12,94.12,70.59,11.76,11.76,0,5.88,0,5.88,0,0,11.76,0,0,17.65,17.65,23.53,0,0,35.29,11.76,5.88,5.88,5.88,0,0,29.41,0,29.41,0,0,17.65,5.88,5.88,0,0,11.76,11.76,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,11.76,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,0,0,5.88,0,0,0,0,5.88,5.88,0,0,5.88,0,0,0,11.76,0,0,23.53,0,0,0,0,0,17.65,11.76,0,0,0,5.88,0
4,1,15,59.67,10.48,93.95,20.23,15,6.67,80,60,46.67,6.67,6.67,0,6.67,0,0,0,0,6.67,0,0,13.33,13.33,0,6.67,0,20,13.33,0,6.67,6.67,0,0,26.67,0,26.67,0,0,6.67,6.67,0,20,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,6.67,6.67,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,6.67,13.33,0,0,13.33,0,0,0,0,6.67,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0
5,1,13,89.52,81.78,1,20.23,13,15.38,92.31,76.92,46.15,15.38,7.69,0,0,0,0,7.69,7.69,0,0,0,23.08,7.69,0,0,0,38.46,0,0,0,0,0,0,23.08,0,23.08,0,0,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,23.08,23.08,7.69,0,7.69,15.38,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0
6,1,9,98.16,2.75,99,99,4.5,11.11,88.89,66.67,33.33,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,0,11.11,0,11.11,11.11,0,11.11,0,11.11,0,33.33,11.11,22.22,11.11,0,0,11.11,0,11.11,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,11.11,0,0,0,0,0,11.11,0,11.11,11.11,11.11,0,0,22.22,11.11,11.11,0,0,0,0
7,1,5,99,1,99,20.23,5,40,80,80,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,40,20,0,0,0,0,40,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,8,89.52,99,1,20.23,8,25,100,62.5,62.5,12.5,12.5,0,0,12.5,0,0,0,25,12.5,0,12.5,12.5,0,0,0,25,0,12.5,12.5,12.5,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0
9,1,45,82.09,27.89,63.35,54.76,15,40,82.22,55.56,40,6.67,2.22,0,0,2.22,0,0,4.44,11.11,4.44,2.22,11.11,2.22,0,11.11,0,6.67,2.22,13.33,8.89,2.22,0,6.67,15.56,2.22,13.33,0,2.22,0,4.44,0,8.89,0,2.22,2.22,0,0,0,0,0,0,0,0,11.11,6.67,0,0,0,0,2.22,4.44,0,0,0,0,2.22,0,0,2.22,6.67,0,2.22,4.44,0,0,2.22,2.22,0,2.22,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,2.22,6.67,2.22,0,4.44,0,0,0,6.67,0,0,0,0,0,0,0,0,11.11,6.67,0,0,0,0,4.44
10,1,5,99,40.06,99,20.23,5,0,80,60,40,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0
