,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,54.08406451612904,1357.3126346711354,27.36793103448276,894.8504307320027,4.944142281652402,1.5580338543964105e-06 < 0.05
Tone,46.322258064516134,1230.6937318810224,65.65741379310346,1515.0749072292801,-3.4738737635993076,0.0006224295660523088 < 0.05
WPS,11.403161290322581,71.33262695433598,11.117758620689656,41.59218611615246,0.23305124995746757,0.815947529867255
adverb,5.855419354838711,46.90031719312945,7.216724137931035,85.16939083484573,-1.1689653574349432,0.24373651840722024
negate,0.8474193548387097,4.924376413908671,1.7601724137931034,16.94868944343618,-2.07425371445138,0.03926916987115987 < 0.05
adj,6.246838709677419,45.718546434855476,6.078965517241379,61.151184875983056,0.1544099535762658,0.8774340988847593
tone_neg,0.4010967741935484,3.1332228152492667,0.8144827586206896,9.695544464609803,-1.2125029010332444,0.22667577718944573
emo_anx,0.0716774193548387,0.7963361290322581,0.45879310344827584,7.2128774652147625,-1.581230010245103,0.11532327632991048
emo_sad,0.0,0.0,0.0,0.0,,nan
Cognition,15.364645161290323,105.00382373690826,14.605689655172414,112.09636530550515,0.47684502291039016,0.6339659586331441
discrep,3.166709677419355,17.884061181399243,1.9374137931034483,13.416563369630973,1.9556218575239988,0.05182984228662396
tentat,3.3658709677419356,27.382742580645164,3.826206896551724,47.83881343012705,-0.5213254880448372,0.6026867825597916
differ,3.5424516129032253,27.9904562882279,4.619655172413792,53.99806654567453,-1.1826419015451692,0.2382820159081047
Perception,7.594774193548387,75.34437576036865,6.453275862068965,80.36109960677555,0.846776433960686,0.39807912196887385
auditory,0.22096774193548388,1.0238685379136994,0.7472413793103448,12.105129098608591,-1.7058072813462453,0.08951546688124286
feeling,0.4806451612903226,4.564982697947215,0.373448275862069,2.2360194797338178,0.3510378637216884,0.7259101904597534
Drives,5.468322580645161,45.70642184331797,2.798448275862069,27.66041684815487,2.7144605837539917,0.007187640972441936 < 0.05
achieve,2.0302580645161292,19.839310322580644,1.5779310344827588,17.364858802177856,0.6711534482795767,0.5028568356124443
power,0.8235483870967742,10.960715249266862,0.0,0.0,3.09695947464736,0.00232387734118903 < 0.05
reward,0.0952258064516129,0.6066874486803518,0.0,0.0,1.522081836065666,0.1300392924126303
time,4.774967741935483,50.14920048596565,6.640689655172414,107.83836091954022,-1.4950084837475084,0.13640629678393196
netspeak,0.08212903225806452,0.24783894428152495,2.4555172413793107,29.088586569872955,-5.438252818934227,1.4821666207797836e-07 < 0.05
